text,intent
"what is 54 divided by 2",ARITHMETIC
"844 divided with 4",ARITHMETIC
"what is 120 divided by 5",ARITHMETIC
"divide 999 by 3",ARITHMETIC
"what's 45 divided by 9",ARITHMETIC
"split 1000 by 25",ARITHMETIC
"what is 7 divided by 0.5",ARITHMETIC
"how much is 1234 divided by 2",ARITHMETIC
"what is 100 divided by 16",ARITHMETIC
"divide 360 by 12",ARITHMETIC
"what's 81 divided by 9",ARITHMETIC
"how much is 10000 divided by 250",ARITHMETIC
"what is 0 divided by 5",ARITHMETIC
"divide 7 by 2",ARITHMETIC
"what is 2 divided by 0.25",ARITHMETIC
"how much is 9999 divided by 9",ARITHMETIC
"what is 14 divided by 7",ARITHMETIC
"divide 48 by 6",ARITHMETIC
"what is 36 divided by 6",ARITHMETIC
"divide 250 by 5",ARITHMETIC
"what is 27 divided by 3",ARITHMETIC
"how much is 720 divided by 8",ARITHMETIC
"what is 54 divided by 2",ARITHMETIC
"calculate 144 divided by 12",ARITHMETIC
"what is 12 times 7",ARITHMETIC
"what is 9 multiplied by 8",ARITHMETIC
"what is 100 minus 44",ARITHMETIC
"what is 55 plus 19",ARITHMETIC
"solve 88 / 4",ARITHMETIC
"what is 5 * 11",ARITHMETIC
"can you divide 300 by 25",ARITHMETIC
"what is 15% of 200",ARITHMETIC
"calculate 2 to the power of 5",ARITHMETIC
"what is 9 squared",ARITHMETIC
"what is 3 cubed",ARITHMETIC
"what is 0.5 times 0.5",ARITHMETIC
"what is 0.2 + 0.3",ARITHMETIC
"what is 1000 minus 1",ARITHMETIC
"what is 7 * 14",ARITHMETIC
"what is 81 / 9",ARITHMETIC
"what is 6 times 12",ARITHMETIC
"what is 120 divided with 6",ARITHMETIC
"can you solve 44 + 33",ARITHMETIC
"how much is 99 minus 11",ARITHMETIC
"what is 18% of 50",ARITHMETIC
"calculate 400 / 8",ARITHMETIC
"what is 3.5 + 2.5",ARITHMETIC
"what is 10 * 10",ARITHMETIC
"what is 144 / 6",ARITHMETIC
"what is 2 + 2",ARITHMETIC
"solve 45 * 3",ARITHMETIC
"12 time 100",ARITHMETIC
"12 tims 100",ARITHMETIC
"12 x 100",ARITHMETIC
"12 multiply 100",ARITHMETIC
"12 multiplied 100",ARITHMETIC
"12 times 100",ARITHMETIC
"Solve the system of equations 3x + 2y = 7 and x − y = 4",ARITHMETIC
"Find the determinant of the matrix [[2,3],[1,4]]",ARITHMETIC
"What is the inverse of the matrix [[1,2],[3,4]]?",ARITHMETIC
"Compute the eigenvalues of the matrix [[5,2],[2,1]]",ARITHMETIC
"Find the rank of the matrix [[1,2,3],[4,5,6]]",ARITHMETIC
"Is the matrix [[1,2],[2,4]] singular?",ARITHMETIC
"Diagonalise the matrix [[4,1],[1,4]]",ARITHMETIC
"Compute the dot product of vectors (3,4) and (2,1)",ARITHMETIC
"Find the cross product of (1,2,3) and (4,5,6)",ARITHMETIC
"Find the cross product of (1,2,3) and (4,5,6)",ARITHMETIC
"What is sin(45°)?",ARITHMETIC
"Compute tan(π/3)",ARITHMETIC
"Solve the equation sin(x) = 1/2",ARITHMETIC
"What is the identity for sin(a+b)?",ARITHMETIC
"Convert 120 degrees to radians",ARITHMETIC
"Find the exact value of cos(π/6)",ARITHMETIC
"Simplify sin²x + cos²x",ARITHMETIC
"Differentiate x^3 + 5x",ARITHMETIC
"Find the derivative of sin(x)cos(x)",ARITHMETIC
"Compute the integral of 1/x dx",ARITHMETIC
"What is the integral of e^(2x)?",ARITHMETIC
"Find the limit as x→0 of sin(x)/x",ARITHMETIC
"Solve the differential equation dy/dx = 3y",ARITHMETIC
"What is the second derivative of x^4?",ARITHMETIC
"Compute (3 + 4i) + (1 − 2i)",ARITHMETIC
"Multiply (2 + 3i)(4 − i)",ARITHMETIC
"Find the magnitude of 5 − 12i",ARITHMETIC
"Convert 3 + 3i to polar form",ARITHMETIC
"Find the gradient of f(x,y)=x²+y²",ARITHMETIC
"Compute the divergence of F = (x, y, z)",ARITHMETIC
"Find the curl of F = (yz, xz, xy)",ARITHMETIC
"ask me a math question",ASK_QUESTION
"can you ask me a math question",ASK_QUESTION
"give me a math question",ASK_QUESTION
"quiz me",ASK_QUESTION
"test me with a math problem",ASK_QUESTION
"ask me something",ASK_QUESTION
"give me another question",ASK_QUESTION
"next question",ASK_QUESTION
"another one",ASK_QUESTION
"ask again",ASK_QUESTION
"give me a new problem",ASK_QUESTION
"ask me a harder one",ASK_QUESTION
"ask me something else",ASK_QUESTION
"give me a different question",ASK_QUESTION
"ask me a simple math question",ASK_QUESTION
"ask me a question",ASK_QUESTION
"ask me a math question",ASK_QUESTION
"give me a math question",ASK_QUESTION
"quiz me",ASK_QUESTION
"test me",ASK_QUESTION
"give me another question",ASK_QUESTION
"next question",ASK_QUESTION
"another one",ASK_QUESTION
"ask again",ASK_QUESTION
"ask me something",ASK_QUESTION
"give me a problem",ASK_QUESTION
"give me a new problem",ASK_QUESTION
"ask me a harder one",ASK_QUESTION
"can you break it down",BREAKDOWN
"please explain step by step",BREAKDOWN
"could you break that down for me",BREAKDOWN
"give me a breakdown of the calculation",BREAKDOWN
"explain the math please",BREAKDOWN
"walk me through the steps",BREAKDOWN
"i want a step by step explanation",BREAKDOWN
"can you show the breakdown",BREAKDOWN
"please break down the numbers",BREAKDOWN
"break it down by year",BREAKDOWN
"i need the breakdown by step",BREAKDOWN
"can you break down the formula",BREAKDOWN
"show me the calculation steps",BREAKDOWN
"please give a breakdown of each step",BREAKDOWN
"i want the math broken down",BREAKDOWN
"can you break down the interest calculation",BREAKDOWN
"break down the steps and show numbers",BREAKDOWN
"please break down the return calculation",BREAKDOWN
"i need the breakdown of interest and principal",BREAKDOWN
"can you break down the percentages",BREAKDOWN
"show breakdown by component",BREAKDOWN
"break it down",BREAKDOWN
"show steps",BREAKDOWN
"explain it",BREAKDOWN
"explain the steps",BREAKDOWN
"explain this",BREAKDOWN
"explain how you got that",BREAKDOWN
"how did you calculate that",BREAKDOWN
"show me how",BREAKDOWN
"more clearly",BREAKDOWN
"clarify this",BREAKDOWN
"can you explain",BREAKDOWN
"give me the breakdown",BREAKDOWN
"show the calculation",BREAKDOWN
"walk me through it",BREAKDOWN
"step by step please",BREAKDOWN
"explain again",BREAKDOWN
"breakdown again",BREAKDOWN
"can you detail it",BREAKDOWN
"show me the details",BREAKDOWN
"explain more",BREAKDOWN
"interesting",CHITCHAT
"cool",CHITCHAT
"nice",CHITCHAT
"okay",CHITCHAT
"alright",CHITCHAT
"go on",CHITCHAT
"tell me more",CHITCHAT
"what else",CHITCHAT
"hm",CHITCHAT
"who are you",CHITCHAT
"what are you",CHITCHAT
"tell me about yourself",CHITCHAT
"hi",GREETING
"hello",GREETING
"hey",GREETING
"hi there",GREETING
"good morning",GREETING
"good afternoon",GREETING
"how are you",GREETING
"how's it going",GREETING
"yo",GREETING
"hey buddy",GREETING
"hi",GREETING
"hello",GREETING
"hey",GREETING
"heyy",GREETING
"heyyy",GREETING
"yoo",GREETING
"yo",GREETING
"yooo",GREETING
"hey there",GREETING
"hi there",GREETING
"hiya",GREETING
"greetings",GREETING
"good morning",GREETING
"good afternoon",GREETING
"good evening",GREETING
"whats up",GREETING
"what's up",GREETING
"sup",GREETING
"howdy",GREETING
"how are you",GREETING
"how are you doing",GREETING
"how’s it going",GREETING
"how r u",GREETING
"how u doing",GREETING
"yo man",GREETING
"hey mate",GREETING
"hey bro",GREETING
"hey friend",GREETING
"hello friend",GREETING
"greetings",GREETING
"greetings friend",GREETING
"hey",GREETING
"heyy",GREETING
"heyyy",GREETING
"yoo",GREETING
"yo",GREETING
"yooo",GREETING
"hiya",GREETING
"heya",GREETING
"hey there",GREETING
"hello there",GREETING
"hi friend",GREETING
"hey friend",GREETING
"sup",GREETING
"whats up",GREETING
"what's up",GREETING
"wassup",GREETING
"howdy",GREETING
"greetings",GREETING
"good evening",GREETING
"how are you doing",GREETING
"how’s it going",GREETING
"how r u",GREETING
"how u doing",GREETING
"grows 10% for 2 years then falls 2% for 5 years",INVEST_PATTERN
"increase 5% for 3 years then drop 1% for 2 years",INVEST_PATTERN
"compound grows 12% then loses 4% next year",INVEST_PATTERN
"rises 8% for 1 year then falls 3% for 2 years",INVEST_PATTERN
"asset grows 15% then declines 5% then grows 2%",INVEST_PATTERN
"grows 3% each year for 4 years then drops 2% for 1 year",INVEST_PATTERN
"compound pattern: +6% +6% -2% +1%",INVEST_PATTERN
"price goes up 20% for 2 years then down 10% for 3 years",INVEST_PATTERN
"sequence: +4% +4% +4% -1% -1%",INVEST_PATTERN
"grows 2% monthly for 12 months then drops 5%",INVEST_PATTERN
"pattern: +10% then -3% then +2% then -1%",INVEST_PATTERN
"grows 7% for 3 years then falls 2% for 4 years",INVEST_PATTERN
"investment pattern: +5% +5% -2% -2% +3%",INVEST_PATTERN
"rises 9% first year then -6% next two years",INVEST_PATTERN
"pattern: +12% then -8% then +4%",INVEST_PATTERN
"grows 6% for 2 years then falls 1% for 3 years",INVEST_PATTERN
"compound pattern: +3% +3% +3% -2% -2%",INVEST_PATTERN
"grows 1% monthly for 6 months then drops 0.5%",INVEST_PATTERN
"pattern: +2% +2% -1% +2% -1%",INVEST_PATTERN
"grows 20% first year then -10% second year",INVEST_PATTERN
"pattern: +7% +7% -3% -3% +2%",INVEST_PATTERN
"I have around 200 euro now. It grew at 10% for 2 years. Then for 5 years it fell 2%. What will I have after 10 years if it sees a similar pattern",INVEST_PATTERN
"+5% for 3 years, then -1% for 2 years, then +8% for 4 years",INVEST_PATTERN
"my investment grows 4% for 2 years then drops 3% for 1 year then grows 6% for 3 years",INVEST_PATTERN
"200 euro grows 10% for 1 year then 5% for 1 year then 2% for 1 year",INVEST_PATTERN
"pattern: +3% for 2 years, -2% for 2 years, +7% for 3 years",INVEST_PATTERN
"investment rises 6% for 4 years then falls 1% for 2 years",INVEST_PATTERN
"my money grows then falls then grows again",INVEST_PATTERN
"it increases for a while then drops a bit then increases again",INVEST_PATTERN
"first it grows, then it declines, then it grows again",INVEST_PATTERN
"similar pattern repeats every few years",INVEST_PATTERN
"repeat the same pattern for the remaining years",INVEST_PATTERN
"apply the pattern again",INVEST_PATTERN
"continue the growth and decline pattern",INVEST_PATTERN
"the investment cycles between growth and decline",INVEST_PATTERN
"it grows again after falling",INVEST_PATTERN
"growth then decline then growth pattern",INVEST_PATTERN
"multi stage investment pattern",INVEST_PATTERN
"pattern based investment calculation",INVEST_PATTERN
"calculate based on the described pattern",INVEST_PATTERN
"follow the same pattern for the remaining years",INVEST_PATTERN
"how much should I invest to get 7000 euro after 2 years",INVEST_REQUIRED_PRINCIPAL
"how much principal gives 10000 after 3 years at 4 percent",INVEST_REQUIRED_PRINCIPAL
"what principal do I need to end up with 15000 in 5 years at 6%",INVEST_REQUIRED_PRINCIPAL
"need to know how much to invest now to have 20k in 10 years at 4%",INVEST_REQUIRED_PRINCIPAL
"calculate required principal for 8000 after 6 years at 5 percent",INVEST_REQUIRED_PRINCIPAL
"what principal yields 500 after 1 year at 10%",INVEST_REQUIRED_PRINCIPAL
"how much do I need to invest to get 25000 in 15 years at 5%",INVEST_REQUIRED_PRINCIPAL
"how much should i put in now to have 10k in 3 years at 2%",INVEST_REQUIRED_PRINCIPAL
"required principal for 4000 after 4 years at 3 percent",INVEST_REQUIRED_PRINCIPAL
"how much to invest to reach 1,200 in 2 years at 3%",INVEST_REQUIRED_PRINCIPAL
"what principal gives 9000 after 7 years at 6 percent",INVEST_REQUIRED_PRINCIPAL
"how much should i invest to get 3000 in 4 years at 4%",INVEST_REQUIRED_PRINCIPAL
"required principal to reach 6000 in 8 years at 5 percent",INVEST_REQUIRED_PRINCIPAL
"how much to invest now to have 500 in 6 months at 2%",INVEST_REQUIRED_PRINCIPAL
"what principal needed for 12000 after 9 years at 4%",INVEST_REQUIRED_PRINCIPAL
